,sample,tank,type
1,DIP10,DIP,adult
2,DIP11,DIP,adult
3,DIP12,DIP,adult
4,DIP13,DIP,adult
5,DIP14,DIP,adult
6,DIP23,DIP,adult
7,DZ10C_1,sed,rec
8,DZ10C_2,sed,rec
9,DZ10C_3,sed,rec
10,DZ10C_4,sed,rec
11,DZ10C_5,sed,rec
12,DZ11C_1,hostsed,rec
13,DZ2B_1,hostsed,rec
14,DZ2C_1,hostsed,rec
15,DZ2C_2,hostsed,rec
16,DZ2C_3,hostsed,rec
17,DZ2C_4,hostsed,rec
18,DZ2C_5,hostsed,rec
19,DZ2C_6,hostsed,rec
20,DZ2C_7,hostsed,rec
21,DZ3C_1,hostsed,rec
22,DZ4A_1,sed,rec
23,DZ6A_1,hostsed,rec
24,DZ6A_2_3,hostsed,rec
25,DZ6A_4,hostsed,rec
26,DZ6B_2,hostsed,rec
27,DZ6B_3,hostsed,rec
28,DZ6B_4,hostsed,rec
29,DZ6B_5,hostsed,rec
30,DZ6C_1,hostsed,rec
31,DZ6C_2,hostsed,rec
32,DZ6C_3,hostsed,rec
33,DZ6C_4,hostsed,rec
34,DZ6C_5,hostsed,rec
35,DZ6C_6,hostsed,rec
36,FAV1,FAV,adult
37,FAV11,FAV,adult
38,FAV2,FAV,adult
39,FAV4,FAV,adult
40,FAV6,FAV,adult
41,FAV7,FAV,adult
